"""strain"" genes"	p value	FDR	CFT073	IAI1	K12	Sakai	Product
aroM	6.2E-04	7.6E-03	10.1	10.3	11.2	12.3	conserved hypothetical protein
hybE	6.2E-04	7.6E-03	11.3	10.5	11.1	11.0	hydrogenase 2-specific chaperone
flk	6.2E-04	7.6E-03	11.8	9.9	12.0	10.3	flagella control of anti-sigma factor FlgM secretion into the periplasm
yggF	6.3E-04	7.6E-03	12.3	10.8	9.7	11.2	fragment of putative hexoseP phosphatase (part 2)
yqcC	6.3E-04	7.6E-03	11.1	11.6	9.5	11.7	conserved hypothetical protein
ycfH	6.3E-04	7.6E-03	10.7	12.4	10.6	10.3	putative metallodependent hydrolase
mgsA	6.3E-04	7.6E-03	11.8	10.0	11.5	10.7	methylglyoxal synthase
ulaE	6.4E-04	7.7E-03	10.7	12.0	9.8	11.5	L-xylulose 5-phosphate 3-epimerase
yfaD	6.5E-04	7.8E-03	11.7	9.4	11.6	11.2	Conserved hypothetical protein, putative transposase
torT	6.5E-04	7.8E-03	11.4	11.3	11.9	9.5	periplasmic sensory protein associated with the TorRS two-component regulatory system
zntR	6.5E-04	7.8E-03	11.6	10.1	10.2	12.1	DNA-binding transcriptional activator in response to Zn(II)
ypfE	6.7E-04	7.9E-03	11.9	9.9	10.3	12.0	putative carboxysome-like ethanolaminosome structural protein with putative role in ethanol utilization
prmA	6.7E-04	7.9E-03	11.3	11.7	11.5	9.5	methylase for 50S ribosomal subunit protein L11
ygdK	6.7E-04	7.9E-03	11.4	9.7	12.2	10.7	putative Fe-S metabolism protein (sufE-like)
yciH	6.8E-04	7.9E-03	11.0	11.8	11.3	9.9	conserved hypothetical protein
ybcF	6.8E-04	7.9E-03	11.8	11.5	9.5	11.3	putative carbamate kinase
mdtD	6.8E-04	7.9E-03	10.3	12.1	10.0	11.6	multidrug efflux system protein
glnE	6.8E-04	7.9E-03	11.6	11.6	11.4	9.4	fused deadenylyltransferase ; adenylyltransferase for glutamine synthetase
tauC	6.9E-04	8.0E-03	9.8	11.3	12.2	10.7	taurine transporter subunit ; membrane component of ABC superfamily
mdtI	6.9E-04	8.0E-03	11.7	11.0	10.1	11.2	multidrug efflux system transporter
ygcW	6.9E-04	8.0E-03	9.5	11.0	11.4	12.0	putative deoxygluconate dehydrogenase
yjgK	7.0E-04	8.0E-03	12.4	10.9	10.5	10.1	conserved hypothetical protein
yjbB	7.0E-04	8.0E-03	10.5	12.5	10.7	10.2	putative transporter
pykA	7.1E-04	8.1E-03	9.8	11.2	11.7	11.3	pyruvate kinase II
fdrA	7.2E-04	8.2E-03	11.3	10.1	10.3	12.4	putative acyl-CoA synthetase with NAD(P)-binding Rossmann-fold domain
frsA	7.3E-04	8.2E-03	12.0	10.1	10.2	11.7	hydrolase, binds to enzyme IIA(Glc)
flhE	7.5E-04	8.4E-03	9.5	10.9	11.8	11.8	conserved hypothetical protein
rffG	7.5E-04	8.4E-03	11.7	9.7	11.7	10.9	dTDP-glucose 4,6-dehydratase
ytfN	7.6E-04	8.5E-03	10.9	11.7	11.8	9.5	conserved hypothetical protein
yfeD	7.7E-04	8.5E-03	12.0	10.3	10.3	11.5	putative nucleic acid-binding transcriptional regulator
queA	7.7E-04	8.5E-03	11.1	12.1	9.6	11.2	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
nrfC	7.7E-04	8.5E-03	9.9	11.8	10.7	11.6	formate-dependent nitrite reductase, 4Fe4S subunit
emrB	7.7E-04	8.5E-03	10.3	12.6	10.6	10.5	multidrug efflux system protein
hemG	7.7E-04	8.5E-03	12.0	11.2	9.6	11.2	protoporphyrin oxidase, flavoprotein
yegK	7.7E-04	8.5E-03	9.6	10.8	12.1	11.4	conserved hypothetical protein
fimA	7.8E-04	8.5E-03	11.5	12.0	10.8	9.7	major type 1 subunit fimbrin (pilin)
ribD	7.8E-04	8.5E-03	11.5	12.1	10.6	9.7	fused diaminohydroxyphosphoribosylaminopyrimidine deaminase;5-amino-6-(5-phosphoribosylamino) uracil reductase
ytfM	7.9E-04	8.6E-03	10.7	10.1	12.4	10.8	conserved hypothetical protein; putative outer membrane protein and surface antigen
ugpC	8.0E-04	8.6E-03	12.0	11.2	10.5	10.3	glycerol-3-phosphate transporter subunit ; ATP-binding component of ABC superfamily
ftsI	8.0E-04	8.6E-03	11.2	9.9	12.2	10.8	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)
yahG	8.0E-04	8.6E-03	9.8	12.2	10.4	11.6	conserved hypothetical protein
yciA	8.1E-04	8.6E-03	12.4	10.9	10.0	10.8	putative hydrolase
yicO	8.1E-04	8.6E-03	11.2	9.9	10.5	12.4	putative xanthine/uracil permease
glpG	8.1E-04	8.7E-03	12.2	11.5	10.5	9.8	putative intramembrane serine protease
yfhD	8.3E-04	8.8E-03	12.6	10.4	10.4	10.5	putative transglycosylase
ybhI	8.3E-04	8.8E-03	12.2	10.0	10.2	11.5	putative anion transporter
yiiD	8.4E-04	8.9E-03	12.2	11.4	10.7	9.7	putative acetyltransferase
wcaB	8.5E-04	9.0E-03	10.8	12.5	10.6	10.1	putative acyl transferase
zapA	8.6E-04	9.0E-03	11.1	10.5	12.3	10.1	protein that localizes to the cytokinetic ring
yegU	8.6E-04	9.0E-03	12.4	10.6	11.1	9.9	putative (phospho)hydrolase
torY	8.8E-04	9.2E-03	11.1	9.6	12.1	11.2	TMAO reductase III (TorYZ), cytochrome c-type subunit
nikC	9.3E-04	9.7E-03	11.0	11.8	11.6	9.6	nickel transporter subunit ; membrane component of ABC superfamily
rtcA	9.3E-04	9.7E-03	12.0	9.6	11.4	11.0	RNA 3-terminal phosphate cyclase
mdoB	9.4E-04	9.7E-03	10.9	9.9	11.6	11.6	phosphoglycerol transferase I
hdhA	9.5E-04	9.8E-03	10.8	10.9	9.9	12.4	7-alpha-hydroxysteroid dehydrogenase, NAD-dependent
aaeR	9.9E-04	1.0E-02	10.9	10.3	12.5	10.3	DNA-binding transcriptional regulator, efflux system
yjgD	1.0E-03	1.0E-02	10.2	10.9	12.5	10.3	conserved hypothetical protein
yraL	1.0E-03	1.0E-02	9.7	11.4	10.7	12.2	putative methyltransferase
yeiM	1.0E-03	1.0E-02	12.0	11.5	9.6	10.9	putative sodium/proton nucleoside transporter
yaiL	1.0E-03	1.0E-02	10.9	11.0	9.8	12.3	nucleoprotein/polynucleotide-associated enzyme
tesB	1.0E-03	1.0E-02	12.5	10.3	10.6	10.7	acyl-CoA thioesterase II
norR	1.1E-03	1.1E-02	9.8	10.7	12.3	11.2	DNA-binding transcriptional activator
frmB	1.1E-03	1.1E-02	11.5	10.2	10.2	12.1	S-formylglutathione hydrolase
yddM	1.1E-03	1.1E-02	11.9	9.6	10.8	11.7	fragment of putative DNA-binding transcriptional regulator (partial)
ptsA	1.1E-03	1.1E-02	12.1	11.0	9.8	11.1	fused putative PTS enzymes: Hpr component ; enzyme I component ; enzyme IIA component
yidZ	1.1E-03	1.1E-02	11.0	10.4	12.5	10.1	putative DNA-binding transcriptional regulator
waaG	1.1E-03	1.1E-02	11.7	11.0	11.6	9.6	glucosyltransferase I
exuT	1.1E-03	1.1E-02	12.0	11.5	10.1	10.4	hexuronate transporter
ibrB	1.1E-03	1.1E-02	12.4	10.3	10.4	10.8	transcriptional regulator IbrB
yicM	1.1E-03	1.1E-02	11.0	10.1	12.5	10.4	transporter
cadC	1.1E-03	1.1E-02	12.0	9.7	11.6	10.8	DNA-binding transcriptional activator
envC	1.1E-03	1.1E-02	11.5	9.7	11.3	11.5	protease with a role in cell division
mdtG	1.1E-03	1.1E-02	12.5	10.6	10.7	10.2	putative metabolite efflux transporter
fimC	1.1E-03	1.1E-02	11.3	12.3	10.4	10.0	chaperone, periplasmic
pyrE	1.1E-03	1.1E-02	11.5	12.0	10.0	10.4	orotate phosphoribosyltransferase
ydhM	1.1E-03	1.1E-02	12.5	10.6	10.2	10.7	putative DNA-binding transcriptional regulator
cpsB	1.1E-03	1.1E-02	10.3	12.3	11.5	10.0	mannose-1-phosphate guanyltransferase
yrfC	1.1E-03	1.1E-02	11.3	11.3	11.9	9.5	putative fimbrial assembly protein (pilN-like)
yjeS	1.1E-03	1.1E-02	12.1	10.9	11.3	9.7	putative Fe-S electron transport protein
folP	1.1E-03	1.1E-02	10.7	11.4	10.0	12.0	7,8-dihydropteroate synthase
yfbM	1.2E-03	1.1E-02	10.1	10.2	12.3	11.4	conserved hypothetical protein
yhhQ	1.2E-03	1.1E-02	10.9	10.6	10.0	12.5	conserved hypothetical protein; putative inner membrane protein
phnH	1.2E-03	1.1E-02	12.4	10.0	11.1	10.6	carbon-phosphorus lyase complex subunit
ycjN	1.2E-03	1.1E-02	10.6	9.8	12.2	11.4	putative sugar transporter subunit: periplasmic-binding component of ABC superfamily transporter
obgE	1.2E-03	1.1E-02	11.7	10.3	10.1	11.9	GTPase involved in cell partioning and DNA repair
marC	1.2E-03	1.1E-02	10.7	10.6	10.2	12.5	putative wide-spectrum exporter
yedI	1.2E-03	1.1E-02	10.4	10.5	12.5	10.6	conserved hypothetical protein; putative inner membrane protein
yeaP	1.2E-03	1.1E-02	11.7	11.0	9.5	11.8	putative diguanylate cyclase
yebT	1.2E-03	1.1E-02	11.5	9.4	11.5	11.6	conserved hypothetical protein
agaV	1.2E-03	1.1E-02	12.3	10.5	10.5	10.7	N-acetylgalactosamine-specific enzyme IIB component of PTS
phnK	1.2E-03	1.1E-02	11.6	11.9	10.8	9.6	carbon-phosphorus lyase complex subunit
yeeO	1.2E-03	1.1E-02	10.1	10.5	10.8	12.5	putative Na+-driven multidrug efflux system
kdtA	1.2E-03	1.1E-02	11.9	11.1	11.2	9.8	3-deoxy-D-manno-octulosonic-acid transferase (KDO transferase)
yehC	1.2E-03	1.1E-02	11.1	10.7	12.3	9.9	putative membrane-associated pilin chaperone
yfdZ	1.2E-03	1.1E-02	11.4	10.3	12.1	10.2	putative aminotransferase, PLP-dependent
rutA	1.2E-03	1.1E-02	11.7	11.4	11.4	9.5	monooxygenase of the alternative pyrimidine degradation pathway
ydjQ	1.2E-03	1.1E-02	12.1	11.5	10.7	9.7	endonuclease of nucleotide excision repair
ycdX	1.2E-03	1.1E-02	11.5	11.6	10.8	10.1	putative PHP hydrolase
yfhJ	1.2E-03	1.1E-02	9.6	11.8	10.9	11.6	conserved hypothetical protein
nrfG	1.3E-03	1.2E-02	11.2	11.6	9.5	11.8	heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfG
ycjM	1.3E-03	1.2E-02	11.5	9.8	10.5	12.2	putative glucosyltransferase
yjiJ	1.3E-03	1.2E-02	11.3	11.4	11.8	9.5	conserved hypothetical protein; putative inner membrane protein
yfcV	1.3E-03	1.2E-02	10.1	10.1	11.8	12.0	putative fimbrial-like adhesin exported protein
bfd	1.3E-03	1.2E-02	11.8	10.3	11.8	10.2	bacterioferritin-associated ferredoxin
yfhQ	1.3E-03	1.2E-02	10.6	10.9	10.1	12.3	putative methyltransferase
essD	1.3E-03	1.2E-02	10.1	10.3	11.2	12.4	putative phage lysis protein S; DLP12 prophage
oxyR	1.3E-03	1.2E-02	9.5	11.9	11.4	11.3	DNA-binding transcriptional dual regulator
prlC	1.4E-03	1.2E-02	9.9	10.5	11.3	12.3	oligopeptidase A
eutB	1.4E-03	1.2E-02	10.2	10.2	12.3	11.3	ethanolamine ammonia-lyase, large subunit, heavy chain
ylbE	1.4E-03	1.2E-02	12.4	10.5	11.1	10.1	conserved hypothetical protein
trmC	1.4E-03	1.2E-02	12.4	10.2	10.2	11.2	fused 5-methylaminomethyl-2-thiouridine-forming enzyme methyltransferase ; FAD-dependent demodification enzyme
wzxE	1.4E-03	1.2E-02	11.2	10.4	10.0	12.3	O-antigen translocase
uvrA	1.4E-03	1.2E-02	11.6	11.6	9.5	11.2	ATPase and DNA damage recognition protein of nucleotide excision repair excinuclease UvrABC
yedX	1.4E-03	1.2E-02	11.7	10.7	10.9	10.8	conserved hypothetical protein
dinD	1.4E-03	1.2E-02	11.4	9.9	12.3	10.4	DNA-damage-inducible protein
yeiN	1.5E-03	1.3E-02	12.5	10.6	10.7	10.2	fragment of conserved hypothetical protein (part 1)
dinB	1.5E-03	1.3E-02	11.3	9.6	12.1	11.0	DNA polymerase IV
ymfC	1.5E-03	1.3E-02	12.5	10.5	10.9	10.2	fragment of 23S rRNA pseudouridine synthase (part 2)
yedD	1.5E-03	1.3E-02	10.4	10.3	12.4	11.0	conserved hypothetical protein
allB	1.5E-03	1.3E-02	11.6	11.6	9.5	11.3	allantoinase
yhhA	1.5E-03	1.3E-02	11.9	9.6	10.8	11.6	conserved hypothetical protein
ybjH	1.5E-03	1.3E-02	9.7	11.2	11.7	11.3	conserved hypothetical protein
yhiN	1.6E-03	1.3E-02	11.7	11.6	11.3	9.5	putative oxidoreductase with FAD/NAD(P)-binding domain
sapB	1.6E-03	1.3E-02	11.7	12.1	10.2	10.1	antimicrobial peptide transporter subunit ; permease component of ABC superfamily transporter
nrdD	1.6E-03	1.3E-02	10.8	11.4	10.1	11.6	anaerobic ribonucleoside-triphosphate reductase
yegE	1.6E-03	1.3E-02	11.4	10.9	9.6	12.1	putative diguanylate cyclase, GGDEF domain signalling protein
fadR	1.6E-03	1.3E-02	10.5	11.2	12.4	10.0	DNA-binding transcriptional dual regulator of fatty acid metabolism
ygfS	1.6E-03	1.3E-02	12.5	10.2	10.7	10.6	putative oxidoreductase, 4Fe-4S ferredoxin-type subunit
mdtA	1.6E-03	1.3E-02	12.5	10.4	10.7	10.4	multidrug efflux system, subunit A
rhtC	1.6E-03	1.3E-02	11.2	9.6	11.0	12.1	threonine efflux system
caiB	1.6E-03	1.3E-02	10.4	10.3	12.5	10.8	crotonobetainyl CoA:carnitine CoA transferase
yicC	1.6E-03	1.3E-02	10.8	12.3	10.4	10.5	conserved hypothetical protein
yihL	1.6E-03	1.3E-02	12.5	10.7	10.1	10.8	putative DNA-binding transcriptional regulator
phnE	1.6E-03	1.3E-02	12.5	10.1	11.0	10.4	phosphonates transport system, permease protein
recC	1.6E-03	1.3E-02	10.7	10.4	12.2	10.7	exonuclease V (RecBCD complex), gamma chain
nlpE	1.6E-03	1.3E-02	12.5	10.4	10.6	10.5	lipoprotein involved with copper homeostasis and adhesion
yejB	1.6E-03	1.3E-02	11.1	12.1	9.7	11.1	putative oligopeptide transporter subunit; permease component of ABC superfamily
eutJ	1.7E-03	1.3E-02	11.6	9.6	10.8	12.0	putative chaperonin, ethanolamine utilization protein
dadA	1.7E-03	1.3E-02	10.9	10.8	11.9	10.4	D-amino acid dehydrogenase
hyaE	1.7E-03	1.3E-02	11.5	10.4	10.0	12.1	protein involved in processing of HyaA and HyaB proteins
qor	1.7E-03	1.3E-02	11.1	10.3	12.4	10.3	quinone oxidoreductase, NADPH-dependent
aceK	1.7E-03	1.3E-02	11.8	10.0	10.2	12.0	isocitrate dehydrogenase kinase/phosphatase
pgpA	1.7E-03	1.3E-02	10.5	11.8	11.9	9.8	phosphatidylglycerophosphatase A
baeR	1.7E-03	1.3E-02	10.8	11.6	11.8	9.8	DNA-binding response regulator in two-component regulatory system with BaeS
truC	1.7E-03	1.3E-02	10.0	12.1	10.3	11.6	tRNA pseudouridine synthase
vacJ	1.7E-03	1.3E-02	11.2	12.2	10.8	9.7	putative lipoprotein
yaeB	1.7E-03	1.4E-02	11.2	10.6	9.9	12.3	conserved hypothetical protein
yigA	1.7E-03	1.4E-02	10.7	11.7	9.8	11.8	conserved hypothetical protein
ygaM	1.7E-03	1.4E-02	10.5	10.1	11.0	12.4	conserved hypothetical protein
yaeP	1.7E-03	1.4E-02	10.9	10.7	10.4	12.1	conserved hypothetical protein
nagD	1.7E-03	1.4E-02	11.6	9.5	11.3	11.6	NMP phosphatase
aslB	1.8E-03	1.4E-02	10.7	9.9	12.3	11.1	regulator of arylsulfatase activity
ycjU	1.8E-03	1.4E-02	12.2	11.3	10.7	9.8	putative glucose-1-phosphate phosphodismutase, beta-phosphoglucomutase
ybiN	1.8E-03	1.4E-02	11.7	10.5	12.1	9.8	putative AdoMet-dependent methyltransferase
yhjV	1.8E-03	1.4E-02	12.5	10.3	10.7	10.5	transporter
sanA	1.8E-03	1.4E-02	12.2	10.3	10.8	10.7	conserved hypothetical protein
yfcY	1.8E-03	1.4E-02	11.8	9.7	11.7	10.8	beta-ketoacyl-CoA thiolase, anaerobic, subunit
rutR	1.8E-03	1.4E-02	11.9	9.9	11.6	10.6	DNA-binding transcriptional regulator of the alternative pyrimidine degradation pathway
mutM	1.8E-03	1.4E-02	9.9	10.9	11.5	11.7	formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase
yiaD	1.8E-03	1.4E-02	11.2	10.0	10.8	12.0	putative outer membrane lipoprotien
asnC	1.8E-03	1.4E-02	11.0	11.4	11.9	9.7	DNA-binding transcriptional dual regulator
yfcZ	1.8E-03	1.4E-02	10.8	11.8	10.5	11.0	conserved hypothetical protein
dld	1.9E-03	1.4E-02	10.1	11.3	10.8	11.9	D-lactate dehydrogenase, FAD-binding, NADH independent
glpK	1.9E-03	1.4E-02	10.1	10.7	12.1	11.2	glycerol kinase
aapQ	1.9E-03	1.4E-02	11.1	11.8	9.5	11.5	amino-acid transporter subunit ; membrane component of ABC superfamily
rluD	1.9E-03	1.4E-02	10.7	11.2	9.8	12.3	23S rRNA pseudouridine synthase
phnI	1.9E-03	1.5E-02	10.3	12.0	10.0	11.8	carbon-phosphorus lyase complex subunit
ybhL	1.9E-03	1.5E-02	9.9	11.4	12.2	10.5	conserved hypothetical protein; putative inner membrane protein
nirC	1.9E-03	1.5E-02	10.3	10.1	11.9	11.7	nitrite transporter
yiaY	1.9E-03	1.5E-02	9.5	11.4	11.5	11.6	Fe-containing alcohol dehydrogenase
rncA	1.9E-03	1.5E-02	10.4	9.9	11.8	11.9	nickel and cobalt resistance
tbpA	1.9E-03	1.5E-02	10.8	9.8	11.5	11.9	thiamin transporter subunit ; periplasmic-binding component of ABC superfamily
nohB	2.0E-03	1.5E-02	9.8	11.7	11.9	10.7	DNA packaging protein; DLP12 prophage
nudE	2.0E-03	1.5E-02	11.6	11.8	9.6	11.0	ADP-ribose diphosphatase
malZ	2.0E-03	1.5E-02	12.2	11.4	9.8	10.6	maltodextrin glucosidase
fepE	2.0E-03	1.5E-02	11.3	9.8	12.1	10.8	regulator of length of O-antigen component of lipopolysaccharide chains
pepB	2.0E-03	1.5E-02	11.3	11.5	9.6	11.6	aminopeptidase B
yfcH	2.0E-03	1.5E-02	10.3	10.5	12.5	10.7	conserved hypothetical protein; putative NAD(P)-binding Rossmann-fold domain
yjjP	2.1E-03	1.5E-02	10.1	12.0	10.5	11.4	conserved hypothetical protein; putative inner membrane protein
ybgS	2.1E-03	1.5E-02	10.3	10.5	12.3	10.9	conserved hypothetical protein
fimI	2.1E-03	1.5E-02	11.1	12.3	10.7	9.8	fimbrial protein involved in type 1 pilus biosynthesis
rpiA	2.1E-03	1.5E-02	9.5	11.3	11.9	11.3	ribose 5-phosphate isomerase, constitutive
phnC	2.1E-03	1.6E-02	11.4	11.8	11.2	9.5	phosphonate/organophosphate ester transporter subunit ; ATP-binding component of ABC superfamily
proB	2.1E-03	1.6E-02	9.6	11.6	11.9	10.9	gamma-glutamate kinase
caiE	2.2E-03	1.6E-02	12.4	11.0	10.6	10.0	putative acyl transferase
rimI	2.2E-03	1.6E-02	10.9	12.4	10.1	10.6	acetylase for 30S ribosomal subunit protein S18
nrdH	2.2E-03	1.6E-02	10.4	10.5	11.6	11.5	glutaredoxin-like protein
yjdK	2.2E-03	1.6E-02	11.8	10.2	11.1	10.8	conserved hypothetical protein
ycgJ	2.2E-03	1.6E-02	11.7	11.5	11.1	9.7	conserved hypothetical protein
yhdN	2.2E-03	1.6E-02	12.4	10.9	10.7	10.0	conserved hypothetical protein
ftsY	2.2E-03	1.6E-02	11.6	11.4	9.6	11.5	fused Signal Recognition Particle (SRP) receptor: membrane binding protein ; conserved hypothetical protein
ymdB	2.2E-03	1.6E-02	11.4	9.8	10.6	12.2	conserved hypothetical protein
selA	2.2E-03	1.6E-02	10.0	11.5	11.5	11.0	selenocysteine synthase
dapE	2.2E-03	1.6E-02	11.3	12.1	9.7	10.9	N-succinyl-diaminopimelate deacylase
ynjH	2.3E-03	1.6E-02	12.1	9.7	11.5	10.7	conserved hypothetical protein
ydcQ	2.3E-03	1.6E-02	11.5	9.5	11.9	11.1	fragment of putative DNA-binding transcriptional regulator (partial)
hrpA	2.3E-03	1.6E-02	11.6	11.8	9.5	11.1	ATP-dependent helicase
nfo	2.3E-03	1.6E-02	10.7	12.5	10.1	10.7	endonuclease IV with intrinsic 3-5 exonuclease activity
ybfE	2.3E-03	1.6E-02	11.6	10.2	10.1	12.1	LexA regulated protein
yedW	2.3E-03	1.6E-02	9.5	11.1	11.8	11.6	DNA-binding response regulator in two-component system with YedV
yqgD	2.3E-03	1.6E-02	10.6	12.0	9.9	11.6	conserved hypothetical protein; putative inner membrane protein
alkB	2.3E-03	1.6E-02	9.7	10.8	12.1	11.5	oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions
cobT	2.3E-03	1.6E-02	10.0	11.2	12.2	10.6	nicotinate-nucleotide dimethylbenzimidazole-P phophoribosyl transferase
ybhK	2.3E-03	1.6E-02	9.5	11.6	11.5	11.4	putative transferase with NAD(P)-binding Rossmann-fold domain; UPF0052 family
cdsA	2.4E-03	1.7E-02	12.1	11.0	10.1	10.8	CDP-diglyceride synthase
putP	2.4E-03	1.7E-02	11.1	11.9	9.9	11.1	proline:sodium symporter
yhhW	2.4E-03	1.7E-02	10.6	12.0	11.7	9.7	conserved hypothetical protein
macB	2.4E-03	1.7E-02	12.5	10.8	10.4	10.3	fragment of fused macrolide transporter subunits of ABC superfamily: ATP-binding component ; membrane component (part 2)
spoT	2.4E-03	1.7E-02	11.4	11.1	9.6	11.9	bifunctional (p)ppGpp synthetase II and guanosine-3,5-bis pyrophosphate 3-pyrophosphohydrolase
rutG	2.4E-03	1.7E-02	9.5	11.6	11.7	11.2	pyrimidine transporter
eutL	2.4E-03	1.7E-02	11.1	10.0	12.3	10.6	putative carboxysome-related structural protein with putative role in ethanolamine utilization
ybbS	2.4E-03	1.7E-02	10.8	10.6	12.5	10.1	putative DNA-binding transcriptional activator of the allD operon
glxR	2.4E-03	1.7E-02	10.7	11.7	11.9	9.7	tartronate semialdehyde reductase, NADH-dependent
eutE	2.5E-03	1.7E-02	12.0	9.8	11.7	10.6	putative aldehyde dehydrogenase, ethanolamine utilization protein
zwf	2.5E-03	1.7E-02	10.8	12.4	10.7	10.1	glucose-6-phosphate dehydrogenase
eutQ	2.5E-03	1.7E-02	11.5	10.1	10.1	12.2	conserved hypothetical protein involved in degradation of ethanolamine
dmsB	2.5E-03	1.7E-02	10.2	11.3	11.4	11.1	dimethyl sulfoxide reductase, anaerobic, subunit B
yhdU	2.5E-03	1.7E-02	12.5	10.6	10.6	10.3	conserved hypothetical protein; putative membrane protein
rzpD	2.5E-03	1.7E-02	10.0	10.5	11.0	12.4	putative murein endopeptidase; DLP12 prophage
yajL	2.5E-03	1.7E-02	10.4	12.3	10.4	11.0	conserved hypothetical protein
treR	2.5E-03	1.7E-02	10.4	11.1	10.1	12.4	DNA-binding transcriptional repressor
yfcA	2.6E-03	1.7E-02	11.8	11.1	9.6	11.5	conserved hypothetical protein; putative inner membrane protein
yjhT	2.6E-03	1.7E-02	11.3	9.5	11.7	11.5	conserved hypothetical protein
ydcA	2.6E-03	1.7E-02	12.1	11.3	11.0	9.6	hypothetical protein
ybiM	2.6E-03	1.7E-02	12.1	9.8	11.4	10.7	conserved hypothetical protein
hypC	2.6E-03	1.7E-02	10.7	10.7	10.9	11.7	protein required for maturation of hydrogenases 1 and 3
yliI	2.6E-03	1.7E-02	11.1	9.6	11.9	11.4	PQQ-dependent aldose sugar dehydrogenase precursor (asd)
ssuA	2.6E-03	1.7E-02	11.1	10.8	9.8	12.3	alkanesulfonate transporter subunit ; periplasmic-binding component of ABC superfamily
yidJ	2.6E-03	1.7E-02	11.3	10.4	12.3	10.0	putative sulfatase/phosphatase
yhcB	2.7E-03	1.8E-02	12.2	10.1	10.2	11.5	putative cytochrome d ubiquinol oxidase subunit III
arcA	2.7E-03	1.8E-02	10.6	10.1	11.0	12.3	DNA-binding response regulator in two-component regulatory system with ArcB or CpxA
yliF	2.7E-03	1.8E-02	11.2	10.5	12.3	10.0	putative diguanylate cyclase
sfcA	2.7E-03	1.8E-02	11.1	11.4	9.6	12.0	malate dehydrogenase, (decarboxylating, NAD-requiring) (malic enzyme)
yiiL	2.7E-03	1.8E-02	12.2	9.9	10.5	11.4	L-rhamnose mutarotase
ycjT	2.7E-03	1.8E-02	11.8	11.0	11.6	9.6	putative glycosyl hydrolase/phosphorylase
ccmE	2.7E-03	1.8E-02	10.2	11.4	10.4	12.1	periplasmic heme chaperone
yieH	2.7E-03	1.8E-02	12.4	10.8	10.4	10.3	putative hydrolase
grxA	2.7E-03	1.8E-02	12.2	9.7	11.3	10.9	glutaredoxin 1, redox coenzyme for ribonucleotide reductase (RNR1a)
ais	2.8E-03	1.8E-02	10.1	10.5	11.5	11.8	conserved hypothetical protein
yhjD	2.8E-03	1.8E-02	11.3	9.8	12.2	10.6	conserved hypothetical protein; putative inner membrane protein
yehS	2.8E-03	1.8E-02	12.3	11.0	10.1	10.6	conserved hypothetical protein
uxaB	2.8E-03	1.8E-02	11.4	9.6	11.5	11.5	altronate oxidoreductase, NAD-dependent
yrdD	2.8E-03	1.8E-02	11.4	11.6	11.3	9.6	putative DNA topoisomerase
cedA	2.8E-03	1.8E-02	12.3	10.6	9.9	11.2	cell division modulator
ycdY	2.8E-03	1.8E-02	11.1	11.8	9.6	11.4	conserved hypothetical protein
yfiC	2.9E-03	1.8E-02	12.0	9.8	10.4	11.8	putative S-adenosyl-L-methionine-dependent methyltransferase
yigM	2.9E-03	1.9E-02	9.7	11.1	12.0	11.1	conserved hypothetical protein; putative inner membrane protein
torD	2.9E-03	1.9E-02	11.5	10.6	10.1	11.8	chaperone involved in maturation of TorA subunit of trimethylamine N-oxide reductase system I
glnD	2.9E-03	1.9E-02	11.9	9.9	11.4	10.8	uridylyltransferase
rng	2.9E-03	1.9E-02	11.4	12.0	9.6	11.0	ribonuclease G
yghU	3.0E-03	1.9E-02	12.3	10.5	10.0	11.1	S-transferase
dipZ	3.0E-03	1.9E-02	10.9	10.8	9.9	12.4	fused thiol:disulfide interchange protein: activator of DsbC ; conserved hypothetical protein
yojL	3.0E-03	1.9E-02	11.1	12.3	9.8	10.9	putative thiamine biosynthesis lipoprotein; defective assembly or repair of ThiH Fe-S cluster
yjjW	3.0E-03	1.9E-02	10.9	12.2	10.7	10.2	putative pyruvate formate lyase activating enzyme
fepB	3.0E-03	1.9E-02	10.8	11.7	10.3	11.1	iron-enterobactin transporter subunit ; periplasmic-binding component of ABC superfamily
yjiN	3.0E-03	1.9E-02	11.6	11.1	9.5	11.7	conserved hypothetical protein; putative inner membrane protein
ydgJ	3.0E-03	1.9E-02	10.6	12.1	10.3	10.9	putative oxidoreductase
torS	3.0E-03	1.9E-02	11.6	11.4	11.6	9.5	fragment of hybrid sensory histidine kinase in two-component regulatory system with TorR (partial)
yncG	3.0E-03	1.9E-02	11.6	11.5	9.6	11.3	fragment of putative enzyme with similarity with GST (part 2)
yijO	3.0E-03	1.9E-02	11.6	11.0	11.8	9.5	putative DNA-binding transcriptional regulator
yjcR	3.0E-03	1.9E-02	10.2	10.2	11.5	12.2	membrane fusion protein of efflux pump
ycfX	3.0E-03	1.9E-02	12.0	11.5	10.6	9.8	N-acetyl-D-glucosamine kinase
